"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55929","Verify  the breadcrumb in ""On Lot"" Tab for Center Subaru","chromium","Fri Aug 08 14:20:06 IST 2025","passed","Fri Aug 08 14:21:02 IST 2025","","Retailer: Center Subaru","",""
"","103642","Verify that the vehicle count in the filter should match with the grid data.""In Transit"" Tab for Burlington Subaru","chromium","Fri Aug 08 18:02:40 IST 2025","broken","Fri Aug 08 18:04:24 IST 2025","","Retailer: Burlington Subaru","",""
"","59429","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""On Order"" Tab for Profile Subaru","chromium","Fri Aug 08 16:08:24 IST 2025","passed","Fri Aug 08 16:09:23 IST 2025","","Retailer: Profile Subaru","",""
"","61465","Verify filters applied are removed when user clicks on ""Clear Filters"".""On Lot"" Tab for Profile Subaru","chromium","Fri Aug 08 17:04:47 IST 2025","passed","Fri Aug 08 17:05:48 IST 2025","","Retailer: Profile Subaru","",""
"","27155","Verify the tabs displayed in the ""Inventory"" screen. ""Total Vehicles"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 18:43:08 IST 2025","failed","Fri Aug 08 18:43:35 IST 2025","","Retailer: Subaru of Wakefield","",""
"","56204","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""On Lot"" Tab for Secor Subaru","chromium","Fri Aug 08 16:25:21 IST 2025","passed","Fri Aug 08 16:26:17 IST 2025","","Retailer: Secor Subaru","",""
"","28947","Verify VIN Key popup ""Buy a Demo"" Tab for Burlington Subaru","chromium","Fri Aug 08 18:55:45 IST 2025","failed","Fri Aug 08 18:56:14 IST 2025","","Retailer: Burlington Subaru","",""
"","27688","Verify that the grid has the vehicles only with vehicle status as ""In Transit"". ""In Transit"" Tab for Burlington Subaru","chromium","Fri Aug 08 15:52:10 IST 2025","failed","Fri Aug 08 15:52:37 IST 2025","","Retailer: Burlington Subaru","",""
"","26886","Verify the data in the grid when filter and sort applied.""On Lot"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 16:44:55 IST 2025","failed","Fri Aug 08 16:45:22 IST 2025","","Retailer: Subaru of Wakefield","",""
"","38879","Verify the mark sold functionality in ""On Lot"" Tab for Burlington Subaru","chromium","Fri Aug 08 15:21:25 IST 2025","failed","Fri Aug 08 15:22:04 IST 2025","","Retailer: Burlington Subaru","",""
"","45417","Verify the Universal Header for Profile Subaru","chromium","Fri Aug 08 19:02:56 IST 2025","passed","Fri Aug 08 19:03:42 IST 2025","","Retailer: Profile Subaru","",""
"","103146","Verify the filters from left to right.""On Lot"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 17:24:11 IST 2025","broken","Fri Aug 08 17:25:54 IST 2025","","Retailer: Subaru of New England Inc","",""
"","50863","Verify the vehicle icons displayed. ""Total Vehicles"" Tab for Mitchell Subaru","chromium","Fri Aug 08 18:44:18 IST 2025","passed","Fri Aug 08 18:45:09 IST 2025","","Retailer: Mitchell Subaru","",""
"","27905","Verify the Pagination functionality with filters and sort applied for rememberence. ""In Transit"" Tab for Burlington Subaru","chromium","Fri Aug 08 18:36:10 IST 2025","failed","Fri Aug 08 18:36:38 IST 2025","","Retailer: Burlington Subaru","",""
"","104789","Verify Sorting Functionality in ""On Lot"" Tab for Beard Subaru","chromium","Fri Aug 08 14:10:15 IST 2025","broken","Fri Aug 08 14:12:00 IST 2025","","Retailer: Beard Subaru","",""
"","57335","Verify Print Preview Functionality., ""Mark as SSLP"" Tab for Secor Subaru","chromium","Fri Aug 08 19:21:51 IST 2025","passed","Fri Aug 08 19:22:48 IST 2025","","Retailer: Secor Subaru","",""
"","32439","Verify the mark sold functionality in ""On Order"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 15:22:14 IST 2025","failed","Fri Aug 08 15:22:46 IST 2025","","Retailer: Subaru of Wakefield","",""
"","35229","Verify the mark sold functionality in ""In Transit"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 15:22:43 IST 2025","failed","Fri Aug 08 15:23:18 IST 2025","","Retailer: Subaru of Wakefield","",""
"","91808","Verify the Pagination functionality with filters and sort applied for rememberence. ""In Transit"" Tab for Patrick Subaru","chromium","Fri Aug 08 18:40:19 IST 2025","passed","Fri Aug 08 18:41:51 IST 2025","","Retailer: Patrick Subaru","",""
"","51539","Verify the vehicle icons displayed. ""Total Vehicles"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 18:45:41 IST 2025","passed","Fri Aug 08 18:46:33 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","102029","Verify the Edit Export Print functionality in ""Total Vehicles"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 15:07:13 IST 2025","broken","Fri Aug 08 15:08:55 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","101999","Verify the Edit Export Print functionality in ""Total Vehicles"" Tab for Center Subaru","chromium","Fri Aug 08 15:01:34 IST 2025","broken","Fri Aug 08 15:03:16 IST 2025","","Retailer: Center Subaru","",""
"","103144","Verify the mark sold functionality in ""On Order"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 15:12:29 IST 2025","broken","Fri Aug 08 15:14:12 IST 2025","","Retailer: Subaru of New England Inc","",""
"","101937","Verify the Edit Export Print functionality in ""In Transit"" Tab for Mitchell Subaru","chromium","Fri Aug 08 14:58:13 IST 2025","broken","Fri Aug 08 14:59:55 IST 2025","","Retailer: Mitchell Subaru","",""
"","77917","Validate Mark SSLP for Beard Subaru","chromium","Fri Aug 08 13:58:38 IST 2025","failed","Fri Aug 08 13:59:56 IST 2025","","Retailer: Beard Subaru","",""
